verb,verb_compound,kaane,elus_cnt,mitteelus_cnt,root_cnt,isik
otsustama,,ad,14,29,734,mitte kunagi
märkima,,in,11,27,733,mitte kunagi
ootama,,all,41,47,733,mitte kunagi
tõstma,,in,26,63,733,mitte kunagi
saama,kokku,in,17,72,730,mitte kunagi
kandma,,all,101,56,729,vahel
kestma,,in,25,80,729,mitte kunagi
mängima,,el,147,19,729,vahel
kandma,,el,85,34,728,vahel
valima,,el,116,32,727,vahel
järgnema,,in,15,63,726,mitte kunagi
jääma,puudu,ad,157,20,726,alati
osalema,,el,155,38,726,vahel
sobima,,ill,15,71,724,mitte kunagi
ostma,,in,10,60,723,mitte kunagi
eraldama,,all,130,40,721,vahel
olema,,adit,36,50,717,vahel
piisama,,ad,127,31,717,vahel
omandama,,in,17,50,715,mitte kunagi
kuulma,,abl,304,24,713,alati
avanema,,all,201,58,712,vahel
kukkuma,,in,11,74,712,mitte kunagi
laskma,,el,77,48,712,mitte kunagi
soovima,,ad,21,40,710,mitte kunagi
jooksma,,ad,51,39,708,mitte kunagi
investeerima,,ill,45,67,707,mitte kunagi
väitma,,in,16,23,705,mitte kunagi
mõistma,,in,20,38,704,mitte kunagi
oskama,,el,122,26,703,vahel
jaguma,,all,185,50,700,vahel
teadma,,ad,50,34,700,vahel
looma,,el,118,31,699,vahel
mõtlema,,in,22,53,699,mitte kunagi
küsima,,el,70,39,698,vahel
viskama,,all,143,50,698,vahel
osutuma,,in,16,42,696,mitte kunagi
hoiduma,,el,20,15,695,mitte kunagi
tähendama,,ad,37,44,695,mitte kunagi
tapma,,in,10,92,694,mitte kunagi
vastama,,el,121,30,694,mitte kunagi
leppima,kokku,in,13,27,693,mitte kunagi
vähenema,,ad,53,35,692,mitte kunagi
algama,,all,168,43,691,vahel
jääma,järele,el,88,46,690,vahel
arvama,,in,26,35,689,mitte kunagi
astuma,,ad,12,37,688,mitte kunagi
tellima,,abl,161,22,685,alati
pälvima,,in,14,32,683,mitte kunagi
rõhuma,,all,23,9,680,vahel
läbima,,in,14,41,679,mitte kunagi
jääma,,abl,47,37,677,mitte kunagi
oskama,,in,33,39,675,mitte kunagi
väsima,,el,29,14,675,vahel
võistlema,,ad,8,30,675,mitte kunagi
kuluma,,in,19,77,674,mitte kunagi
kõlama,,ad,16,29,674,mitte kunagi
üritama,,ad,27,32,674,mitte kunagi
tähistama,,in,8,67,673,mitte kunagi
saabuma,,ad,30,34,672,vahel
suurenema,,ad,57,37,672,vahel
kolima,,ill,9,95,671,mitte kunagi
lootma,,in,13,42,671,mitte kunagi
esinema,,el,127,26,669,vahel
kogunema,,in,18,76,669,mitte kunagi
laskma,,all,124,54,669,vahel
kukkuma,,ad,36,44,668,mitte kunagi
ületama,,ad,23,42,668,mitte kunagi
laekuma,,el,20,33,664,mitte kunagi
avastama,,ad,44,52,662,mitte kunagi
võtma,ära,abl,192,28,660,alati
võtma,vastu,in,6,80,659,mitte kunagi
ajama,,ad,111,39,658,vahel
kukkuma,,all,112,61,658,vahel
kuluma,,el,32,25,658,vahel
tulema,välja,in,12,40,658,mitte kunagi
tutvustama,,in,9,59,658,mitte kunagi
viitama,,in,16,40,656,mitte kunagi
pruukima,,ad,129,34,655,alati
kahtlustama,,in,6,16,654,mitte kunagi
lahkuma,,abl,11,46,654,mitte kunagi
tasuma,,all,158,38,654,vahel
kostma,,el,21,92,651,mitte kunagi
osutuma,,ad,34,23,649,mitte kunagi
andma,,adit,27,37,646,mitte kunagi
juhtima,,ad,11,30,646,vahel
kirjutama,,ad,18,26,646,mitte kunagi
mahtuma,,adit,18,68,645,mitte kunagi
ründama,,in,12,72,645,mitte kunagi
