Collection,Experiment,Model,Source,Split,LAS
edt,gm_experiment_3_2,udpipe,test,7,84.18%
edt,gm_experiment_3_2,udpipe,train,8,91.03%
edt,gm_experiment_3_2,udpipe,test,8,85.00%
edt,gm_experiment_3_2,udpipe,train,9,91.38%
edt,gm_experiment_3_2,udpipe,test,9,84.77%
est_ud,gm_experiment_3_2,udpipe,train,0,90.01%
est_ud,gm_experiment_3_2,udpipe,test,0,83.43%
est_ud,gm_experiment_3_2,udpipe,train,1,90.49%
est_ud,gm_experiment_3_2,udpipe,test,1,84.18%
est_ud,gm_experiment_3_2,udpipe,train,2,90.34%
est_ud,gm_experiment_3_2,udpipe,test,2,83.40%
est_ud,gm_experiment_3_2,udpipe,train,3,90.60%
est_ud,gm_experiment_3_2,udpipe,test,3,83.61%
est_ud,gm_experiment_3_2,udpipe,train,4,90.17%
est_ud,gm_experiment_3_2,udpipe,test,4,83.76%
est_ud,gm_experiment_3_2,udpipe,train,5,90.49%
est_ud,gm_experiment_3_2,udpipe,test,5,84.17%
est_ud,gm_experiment_3_2,udpipe,train,6,89.76%
est_ud,gm_experiment_3_2,udpipe,test,6,83.92%
est_ud,gm_experiment_3_2,udpipe,train,7,90.42%
est_ud,gm_experiment_3_2,udpipe,test,7,84.03%
est_ud,gm_experiment_3_2,udpipe,train,8,90.55%
est_ud,gm_experiment_3_2,udpipe,test,8,84.92%
est_ud,gm_experiment_3_2,udpipe,train,9,89.53%
est_ud,gm_experiment_3_2,udpipe,test,9,83.55%
edt,gm_experiment_3_2,malt,train,0,93.00%
edt,gm_experiment_3_2,malt,test,0,84.10%
edt,gm_experiment_3_2,malt,train,1,92.90%
edt,gm_experiment_3_2,malt,test,1,85.80%
edt,gm_experiment_3_2,malt,train,2,93.00%
edt,gm_experiment_3_2,malt,test,2,84.80%
edt,gm_experiment_3_2,malt,train,3,93.00%
edt,gm_experiment_3_2,malt,test,3,84.90%
edt,gm_experiment_3_2,malt,train,4,93.00%
edt,gm_experiment_3_2,malt,test,4,86.00%
edt,gm_experiment_3_2,malt,train,5,93.00%
edt,gm_experiment_3_2,malt,test,5,85.70%
edt,gm_experiment_3_2,malt,train,6,93.00%
edt,gm_experiment_3_2,malt,test,6,85.60%
edt,gm_experiment_3_2,malt,train,7,93.00%
edt,gm_experiment_3_2,malt,test,7,84.70%
edt,gm_experiment_3_2,malt,train,8,92.90%
edt,gm_experiment_3_2,malt,test,8,85.30%
edt,gm_experiment_3_2,malt,train,9,93.00%
edt,gm_experiment_3_2,malt,test,9,84.50%
est_ud,gm_experiment_3_2,malt,train,0,93.80%
est_ud,gm_experiment_3_2,malt,test,0,80.70%
est_ud,gm_experiment_3_2,malt,train,1,93.70%
est_ud,gm_experiment_3_2,malt,test,1,81.60%
est_ud,gm_experiment_3_2,malt,train,2,93.70%
est_ud,gm_experiment_3_2,malt,test,2,80.80%
est_ud,gm_experiment_3_2,malt,train,3,93.80%
est_ud,gm_experiment_3_2,malt,test,3,80.90%
est_ud,gm_experiment_3_2,malt,train,4,93.80%
est_ud,gm_experiment_3_2,malt,test,4,81.80%
est_ud,gm_experiment_3_2,malt,train,5,93.70%
est_ud,gm_experiment_3_2,malt,test,5,81.20%
est_ud,gm_experiment_3_2,malt,train,6,93.80%
est_ud,gm_experiment_3_2,malt,test,6,81.70%
est_ud,gm_experiment_3_2,malt,train,7,93.70%
