"value","code"
ideaalselt,ADV_viis
ideeliselt,ADV_viis
idiootlikult,ADV_viis
iga hinna eest,ADV_viis
iga ihukarvaga,ADV_viis
iga ihurakuga,ADV_viis
iga kell,ADV_viis
iga kord,ADV_aeg
igakord,ADV_aeg
igakuiselt,ADV_aeg
igakülgselt,ADV_viis
igal ajal,ADV_aeg
igale poole,ADV_koht
igal juhul,ADV_viis
igal pool,ADV_koht
igal sammul,ADV_aeg
igal sammul,ADV_seisund
igalt poolt,ADV_koht
iga naks,ADV_viis
iganes,ADV_aeg
iganes,ADV_modaalsus
iga nurga peal,ADV_koht
iga nurga peal,ADV_seisund
iga pidi,ADV_viis
igapidi,ADV_viis
iga pooriga,ADV_viis
iga päev,ADV_aeg
igapäevaselt,ADV_aeg
igapäevaselt,ADV_viis
iga rakuga,ADV_viis
igas ilmakaares,ADV_koht
igas ilmakaares,ADV_seisund
igasse ilmakaarde,ADV_koht
igasse ilmakaarde,ADV_seisund
igastahes,ADV_modaalsus
igast ilmakaarest,ADV_koht
igast ilmakaarest,ADV_seisund
igast poorist,ADV_viis
igatahes,ADV_modaalsus
igatekanti,ADV_viis
igatemoodi,ADV_viis
igatepidi,ADV_viis
igateviisi,ADV_viis
igati,ADV_viis
igatipidi,ADV_viis
igat pidi,ADV_viis
igatpidi,ADV_viis
igatsevalt,ADV_viis
igat viisi,ADV_viis
igatviisi,ADV_viis
igaveseks,ADV_aeg
igavesti,ADV_aeg
igavesti,ADV_aste
igavesti,ADV_viis
iga viisi,ADV_viis
igaviisi,ADV_viis
igavlevalt,ADV_viis
igiammu,ADV_aeg
ihu ja hingega,ADV_viis
ihust ja hingest,ADV_viis
ihuüksi,ADV_seisund
ihuüksinda,ADV_seisund
iial,ADV_aeg
iial,ADV_modaalsus
iialgi,ADV_aeg
iiliti,ADV_viis
ikka,ADV_aeg
ikka,ADV_modaalsus
ikkagi,ADV_modaalsus
ikkagist,ADV_modaalsus
ikka ja alati,ADV_aeg
ikka ja alati,ADV_viis
ikka ja ikka,ADV_aeg
ikka ja ikka,ADV_viis
ikka ja jälle,ADV_aeg
ikka ja jälle,ADV_viis
ilkuvalt,ADV_viis
illustratiivselt,ADV_viis
ilma,ADV_viis
ilmaaegu,ADV_viis
ilmaasjata,ADV_viis
