"word","koht","aeg","seisund","sündmus","other_types"
häpening,,,,✓,ese_kunst
häppening,,,,✓,ese_kunst
härraskond,✓,,,,in_omadus
häälekadu,,,✓,,nähtus
häälestus,,,✓,,tegevus
hääletus,,,✓,,tegevus_tegu
hübriidimmuunsus,,,✓,,nähtus
hübriidsõda,,,,✓,abstr/konkr
hüdroelektrijaam,✓,,,,esitus
hüdrofoobia,,,✓,,nähtus_psühh
hüdrojaam,✓,,,,esitus
hülgejää,✓,,,,tegevus
hümn,,,✓,,ese_kunst
hüperaktiivsus,,,✓,,esitus
hüperinflatsioon,,,✓,,nähtus
hüperplaasia,,,✓,,nähtus
hüpertoonia,,,✓,,nähtus_loodus
hüpertroofia,,,✓,,nähtus_psühh
hüpohondria,,,✓,,nähtus_psühh
hüpostaas,,,✓,,konkr_omadus
hüpoteegipidaja,✓,,,,inimene
hüpotermia,,,✓,,nähtus
hüpotoonia,,,✓,,nähtus_loodus
hütt,✓,,,,loom_lind
hüüvis,,,✓,,materjal/aine
idanaaber,✓,,,,in_rahvas
ideatsioon,,,,✓,tegevus
idée fixe,,,✓,,nähtus_psühh
identiteedikriis,,,✓,✓,
identsus,,,✓,,nähtus_psühh
idiosünkraasia,,,✓,,omadus_kval
idiotism,,,✓,,nähtus_psühh
idüll,,,✓,,abstr
iga,,✓,,,omadus_kval
igavene puhkus,,,✓,,abstr
igavene uni,,,✓,,abstr
igavik,,✓,,,abstr
igikelts,✓,,,,objekt_loodus
Iisrael,✓,,,,in_rahvas
ikaldus,,,✓,,nähtus_loodus
iksjalad,,,✓,,kehaosa
illusoorsus,,,✓,,omadus_psühh
illuviaalhorisont,✓,,,,materjal/aine
ilma,,,✓,,ADV_viis
ilmaelu,,,✓,,nähtus
ilmaime,,,,✓,objekt
ilmaletulek,,,,✓,tegevus
ilmaolud,,,✓,,abstr/konkr
ilmastikuolud,,,✓,,abstr/konkr
ilmastikutingimused,,,✓,,abstr/konkr
ilmasõda,,,,✓,tegevus
ilme,,,✓,,nähtus
ilutuled,,,,✓,nähtus_füüs
ilutulestik,,,,✓,nähtus_füüs
imelaps,✓,,,,in_omadus
IMF,✓,,,,ese_raha
impotentsus,,,✓,,nähtus_loodus
indemniteet,,,✓,,abstr
indolents,,,✓,,nähtus
indolentsus,,,✓,,nähtus
infantiilsus,,,✓,,omadus_psühh
infantilism,,,✓,,omadus_psühh
infarktioht,,,✓,,abstr/konkr
info,✓,,,,esitus_info
ingelinvestor,✓,,,,in_roll
inimareng,,,✓,,nähtus
inimkatastroof,,,✓,✓,
inimnägu,,,✓,,kehaosa
inimohver,,,,✓,in_roll
inimpõlv,,✓,,,inimene
inimväärikus,,,✓,,omadus_psühh
initsiatsiooniriitus,,,,✓,tegevus
inkontinentsus,,,✓,,tegevus
inkubaator,✓,,,,ese_instru
inkubatsiooniaeg,,✓,✓,,
inkubatsiooniperiood,,✓,✓,,
inspektsioon,✓,,,,tegevus
inspiratsioon,,,✓,,nähtus_psühh
institutsioon,✓,,,,abstr/konkr
instituut,✓,,,,abstr
insult,,,✓,,VERB_suhtlus
intensiivravi,✓,,,,vald
inter,✓,,,,in_roll
intermetso,,,,✓,ese_kunst
internatuur,,✓,,,abstr/konkr
internetisõltuvus,,,✓,,nähtus_psühh
internetiäri,✓,,,,tegevus
intolerantsus,,,✓,,nähtus_psühh
inventuur,,,,✓,tegevus_tegu
investeerimisfond,✓,,,,ese_raha
irv,,,✓,,tegevus_kõnetegu
irve,,,✓,,nähtus_psühh
isasus,,,✓,,omadus_kval
isepära,,,✓,,abstr/konkr_omadus
isepärasus,,,✓,,abstr/konkr_omadus
iseteenindus,✓,,,,abstr/konkr
iseteeninduskassa,✓,,,,ese_instru
istekoht,✓,,,,kehaosa
istungjärk,,✓,,✓,
Jaapani aed,✓,,,,abstr/konkr
jaatamine,,,✓,,nähtus_psühh
jada,✓,,,,abstr/konkr
jahikalender,,✓,,,abstr/konkr
jahilkäik,,,,✓,tegevus
jahirentnik,✓,,,,in_roll
jahiretk,,,,✓,tegevus
jahm,,,✓,,nähtus_psühh
jahmatus,,,✓,,nähtus_psühh
jahukaste,,,✓,,toit
jahuveski,✓,,,,ese_instru
jalasirutus,,,✓,,tegevus_tegu
jalgealune,✓,,✓,,
jalgpalliklubi,✓,,,,inimene
jalgpallimuru,✓,,,,taim
jalgpallitreening,,,,✓,tegevus
jalutus,,,✓,,tegevus_tegu
janutunne,,,✓,,nähtus_loodus
jaotuspunkt,✓,,,,esitus
JK,✓,,,,inimene
joastik,✓,,,,nähtus_loodus
jobutus,,,✓,,tegevus_kõnetegu
jonksus,,,✓,,ADV_seisund
joogijanu,,,✓,,nähtus_loodus
jooksja,,,✓,,in_tegija
jooksukross,,,,✓,tegevus_tegu
jooksutreening,,,,✓,tegevus
jooksutrenn,,,,✓,tegevus
joomaaeg,,,,✓,toit_jook
joomahoog,,✓,,,tegevus
joomasööst,,✓,,,tegevus
joomatsükkel,,✓,,,tegevus
joomatuur,,✓,,,tegevus
joone all,✓,,✓,,
joone alla,✓,,✓,,
juhtmerägastik,✓,,,,konkr
julgeolek,✓,,✓,,
julgeolekuorgan,✓,,,,in_elukutse
julgeolekurisk,,,✓,,nähtus_psühh
jumalateenistus,,,,✓,tegevus
Jungfrau,✓,,,,esitus_kujutis
jups,,,✓,,nähtus_psühh
juubel,,✓,,✓,
juudi juubel,,✓,,✓,
juudijuubel,,✓,,✓,
juuksekadu,,,✓,,nähtus_loodus
juukselahk,✓,,,,esitus_kujutis
juuksepiire,✓,,,,esitus_kujutis
juuksur,✓,,,,in_elukutse
juura,,✓,,,vald
juurdeehitis,✓,,,,tegevus
juurdeehitus,✓,,,,tegevus
jv,✓,,,,esitus
