"word","semantic_types"
artsik,KOHT
Aru,KOHT
Aruaia,KOHT
aruandeaasta,AEG
aruandekontsert,sündmus
aruandekoosolek,sündmus
aruandeperiood,AEG
Aruaru,KOHT
Aruba,KOHT
aruheinamaa,KOHT
arukaasik,KOHT
Arukse,KOHT
Aruküla,KOHT
Arula,KOHT
arumaa,KOHT
Arumetsa,KOHT
Arumäe,KOHT
Arunachal Pradesh,KOHT
aruniit,KOHT
Arupää,KOHT
Arupäälse,KOHT
arusaadamatus,SEISUND
arusaamatus,SEISUND
Arussaare,KOHT
Arusta,KOHT
Aruste,KOHT
Aruvainu,KOHT
Aruvalla,KOHT
Aruvälja,KOHT
arvel,SEISUND
arveldusperiood,AEG
arvele,SEISUND
arvelt,SEISUND
Arvila,KOHT
arvutiklass,KOHT
arvutisõltuvus,SEISUND
arvutusjaam,KOHT
arvutuskeskus,KOHT
arõkk,KOHT
asbestoos,SEISUND
Åsbyn,KOHT
Asdod,KOHT
asehalduskond,KOHT
asenduskodu,KOHT
asenduskorter,KOHT
asendustund,sündmus
Aserbaidžaan,KOHT
Aseri,KOHT
Aseriaru,KOHT
asfaldijooks,sündmus
asfaldijärv,KOHT
asfaltbetoontee,KOHT
asfalttee,KOHT
asfalttänav,KOHT
asfüksia,SEISUND
Aşgabat,KOHT
ASH,SEISUND
Ashdod,KOHT
Ashkelon,KOHT
asjadevalitsus,KOHT
askariaas,SEISUND
askaridiaas,SEISUND
askaridoos,SEISUND
Askelon,KOHT
asm,KOHT
Asmara,KOHT
asoteemia,SEISUND
Asotos,KOHT
Aspergeri sündroom,SEISUND
aspirantuuriaeg,AEG
Assa,KOHT
Assaku,KOHT
Assam,KOHT
Assamalla,KOHT
Assikvere,KOHT
Assiut,KOHT
Assoori,KOHT
Assoorid,KOHT
Assuan,KOHT
Assur,KOHT
Assüüria,KOHT
astaasia,SEISUND
Astana,KOHT
astang,KOHT
Astangu,KOHT
Aste,KOHT
asteenia,SEISUND
astenoopia,SEISUND
astigmatism,SEISUND
Asti järv,KOHT
astma,SEISUND
astmahoog,SEISUND
astmikpüramiid,KOHT
astmiktorn,KOHT
astmikviil,KOHT
Astrahan,KOHT
astronoomiaobservatoorium,KOHT
astrotsütoom,SEISUND
astsiit,SEISUND
Astuuria,KOHT
Astuvere,KOHT
asu,SEISUND
asuala,KOHT
Asuja,KOHT
Asuka,KOHT
asukohariik,KOHT
asukoht,KOHT
Asuküla,KOHT
asula,KOHT
asulakoht,KOHT
asulastik,KOHT
asum,KOHT
asumaa,KOHT
asumisala,KOHT
Asunción,KOHT
asundus,KOHT
Asunduse,KOHT
asundusküla,KOHT
asundustalu,KOHT
asunikukoht,KOHT
asunikutalu,KOHT
asupaik,KOHT
asustusala,KOHT
asustuskeskus,KOHT
asustusüksus,KOHT
asutamisaasta,AEG
asutamisaeg,AEG
asutamiskongress,sündmus
asutamiskoosolek,sündmus
Asva,KOHT
Aswān,KOHT
asümmeetriline sõda,sündmus
