"word","code"
aiandusteraapia,vald
aianuga,ese_instru
aiapidaja,in_omadus
aiapidamine,tegevus
aiapiire,ese_instru
aiapink,ese_instru
aiaplank,ese_instru
aiapost,ese_instru
aiapraht,konkr
aiaprits,ese_instru
aiapulk,ese_instru
aiapõrnikas,loom_putukas
aiapäkapikk,ese_kunst
aiaroigas,ese_instru
aia-rõngakedrik,loom_putukas
aia taha minema,VERB_seisund
aiatara,ese_instru
aiateibaid näitama,VERB_seisund
aiateivas,ese_instru
aiatool,ese_instru
aiatraktor,ese_instru
aiatöö,tegevus
aiatööline,in_elukutse
aiavaas,ese_anum
aiavoolik,ese_instru
aiavõrk,ese_instru
aiavärav,ese_instru
aiaäärne,omadus_koht
aidaa,esitus_keel_suhtlus
aidakaal,esitus_mõõt
aidamees,in_elukutse
aidsiohver,in_roll
aidsivastane,omadus
aiduraidutama,VERB_suhtlus
aiduraidutamine,nähtus
aie,loom
aieahv,loom
aietama,VERB_suhtlus
aijeh,esitus_keel_suhtlus
aikidoo,vald
aimamatu,omadus
aimamisi,ADV_viis
aimara,in_rahvas
aimaraa,in_rahvas
aimaraa keel,in_rahvas_keel
aimara keel,in_rahvas_keel
aimduma,VERB_psühh
aimefilm,ese_kunst
aimekirjandus,ese_semio
aimeline,omadus_kval
aimlema,VERB_psühh
aimu andma,VERB_psühh_mõistus
aimuma,VERB_psühh
aimu saama,VERB_psühh_mõistus
aimutu,omadus_psühh
ain,ese_instru
aineala,vald
ainealane,omadus_kval
ainedidaktika,vald
ainekaart,ese_semio
ainekataloog,ese_semio
ainekava,ese_semio
ainekiituskiri,ese_semio
ainekomisjon,in_elukutse
ainekursus,abstr/konkr
ainekäsitlus,abstr/konkr
aineliselt,ADV_viis
aineosake,objekt
aineosakene,objekt
ainepunkt,esitus_mõõt
aineregister,ese_semio
aineringe,nähtus_loodus
ainesektsioon,in_elukutse
ainestama,VERB_muutust põhjustama
ainesõna,esitus_keel
ainesüsteem,abstr/konkr
aineti,ADV_viis
ainetundja,inimene
ainetundmine,nähtus
ainevahetus,tegevus
ainevahetuslik,omadus
ainevahetusprotsess,nähtus_loodus
ainevald,vald
ainevaldkond,vald
aineõpetaja,in_elukutse
ainikmõiste,abstr
ainiti,ADV_viis
ainitine,omadus_kval
ainitiselt,ADV_viis
ainsussõna,esitus_keel
aint,ADV_modaalsus
ainueesmärk,abstr
ainueksemplar,ese
ainuesindaja,in_tegija
ainuintervjuu,tegevus_kõnetegu
ainuisikuline,omadus
ainuisikuliselt,ADV_viis
ainujuht,in_omadus
ainujuhtija,in_omadus
ainujuhtimine,nähtus
ainu keel,in_rahvas_keel
ainukehtiv,omadus
ainukordne,omadus_kval
ainulik,omadus_kval
ainult et,ADV_modaalsus
ainumalt,ADV_aste
ainumõeldav,omadus
ainumäärav,omadus
ainumüügiõigus,abstr/konkr
ainuomand,abstr/konkr
ainuomane,omadus
ainuomanik,in_roll
ainuotsustama,VERB_psühh_mõistus
ainupiluline,loom_liik
