pat_id,verb_word,verb_compound,phrase_case,adp,inf_verb,verb_occurrence_count,absolute_support,relative_support
914,viilima,kõrvale,el,,,27,19,70.37037037037037
1731,simuleerima,,part,,,128,90,70.3125
1986,trahvima,,part,,,741,519,70.04048582995951
524,kahtlema,,in,,,8522,5961,69.94836892748181
379,imponeerima,,all,,,269,188,69.88847583643123
331,häirima,,part,,,10172,7105,69.84860401101062
561,karistama,,part,,,4665,3253,69.73204715969989
1697,seostama,,kom,,,2179,1519,69.71087654887563
75,arutama,,part,,,22921,15959,69.62610706339166
294,himustama,,part,,,471,327,69.42675159235668
190,eraldama,,part,,,6435,4467,69.41724941724942
1852,sümpatiseerima,,all,,,272,188,69.11764705882352
1634,sallima,,part,,,2820,1949,69.11347517730496
1310,ootama,,part,,,66154,45716,69.10542068506817
438,julgestama,,part,,,152,105,69.07894736842105
463,minema,järele,all,,,459,317,69.06318082788671
1768,solgutama,,part,,,42,29,69.04761904761905
1586,reklaamima,,part,,,2472,1704,68.93203883495146
771,korreleeruma,,kom,,,209,144,68.89952153110048
2189,varustama,,kom,,,1794,1234,68.78483835005575
